booking_id,passenger_id,flight_id,booking_date,status,seat_number,passport_hash,emergency_contact_phone_masked
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,11A,2d92b7bd81d35cae,XXXXXX7113
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,19C,8b95844e76cc5b90,XXXXXX7530
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,15D,423f67ec2c3ae8f4,XXXXXX7050
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,9A,598ff01acbf6bc2c,XXXXXX0081
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,24E,554f3946f31ccac3,XXXXXX2918
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,7B,a7b20b2471bb6934,XXXXXX8991
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,1B,0681dbef5bd4634d,XXXXXX8025
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,7F,d1890f8e9ebb65dd,XXXXXX9825
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,23A,1f33349871daea9d,XXXXXX9882
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,16E,e7a5e875c7d36af5,XXXXXX6369
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,15D,3fe54a1dc4b0cdf1,XXXXXX3428
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,15F,c005329db674b6a0,XXXXXX0870
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,18F,4f5241fe8ad9459d,XXXXXX2708
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,16A,402f291ebe3fa571,XXXXXX4571
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,7A,4076ad6f12f09bf1,XXXXXX6104
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,2F,ab3293c825063d9f,XXXXXX7796
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,12B,885da79aaab26524,XXXXXX9350
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,3A,a57b39e97f3e0d89,XXXXXX9292
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,1B,0b13c678799a4b39,XXXXXX0016
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,10D,4b59aed00e3e288a,XXXXXX8019
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,22D,4342469cc2ece9c1,XXXXXX0958
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,29C,19b361ee6b4db3ad,XXXXXX8400
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,30A,bed2e8330b1502bb,XXXXXX4669
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,9A,0427d3e48a50c2a7,XXXXXX4087
B1084,P1896,6F270,2025-06-14 11:37:36.951,PENDING,16E,f4b101c92ad0c2b6,XXXXXX8688
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,12A,e8e2699a0f9a7ae9,XXXXXX9329
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,5D,3cbfb5860f332cb0,XXXXXX3483
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,2F,611f2bc1cbc5fbe1,XXXXXX8674
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,31A,31cd1c4ce0b119b3,XXXXXX7433
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,25F,c6aa33e629dc62c9,XXXXXX1422
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,31C,bb5247051fffc58e,XXXXXX1775
B1091,P1770,6F043,2025-08-18 11:37:36.951,PENDING,25D,6c19d898b47fecd5,XXXXXX1387
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,16D,3075778e1780e763,XXXXXX6973
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,25E,a75fcf66e46d7eb3,XXXXXX0231
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,24C,42e44806c1a42631,XXXXXX7557
B1095,P1215,6F194,2025-07-30 11:37:36.951,CONFIRMED,14B,e8b3f542447772d6,XXXXXX2655
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,12B,5b7b821ded41622f,XXXXXX8767
B1097,P1959,6F017,2025-08-26 11:37:36.951,UNKNOWN,34F,9ce5aea1c021b5da,XXXXXX9257
B1098,P1491,6F245,2025-10-15 11:37:36.951,UNKNOWN,13D,3c7fe669e9d0eb59,XXXXXX0675
B1099,P1812,6F254,2025-12-07 11:37:36.951,CONFIRMED,26E,43a6e75da0290735,XXXXXX5408
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,16D,c46a8029eb90709b,XXXXXX2423
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,3D,b2fdcf378140f00f,XXXXXX0041
B1102,P1448,SJ196,2025-10-06 11:37:36.951,UNKNOWN,15F,4c4ec13abcf90425,XXXXXX7824
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,20D,12c2e7aa98bf37ad,XXXXXX0195
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,16E,17c7b2a5887f8fac,XXXXXX1992
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,19F,790dec6a587f3855,XXXXXX2865
B1106,P1546,UK063,2025-09-01 11:37:36.951,CONFIRMED,21F,8c3567a98fe131d5,XXXXXX7368
B1107,P1535,AI056,2025-05-19 11:37:36.951,CONFIRMED,30F,b1e920b0e2e2fddb,XXXXXX1339
B1108,P1539,UK207,2025-10-11 11:37:36.951,CANCELLED,14B,d109b8a1d1fdc798,XXXXXX0049
B1109,P1483,UK166,2025-12-03 11:37:36.951,CANCELLED,33D,c8d21b8cf9768910,XXXXXX1363
B1110,P1975,6F261,2025-12-17 11:37:36.951,PENDING,12B,3f30c2195578061e,XXXXXX8743
B1111,P1999,UK134,2025-12-25 11:37:36.951,CANCELLED,34A,0f5cf3c2668403a9,XXXXXX0327
B1112,P1015,6F152,2025-10-02 11:37:36.951,PENDING,27A,4903e120af53ec41,XXXXXX0611
B1113,P1570,SJ089,2025-11-23 11:37:36.951,CONFIRMED,5A,3944db62c465d186,XXXXXX3389
B1114,P1976,6F123,2025-09-26 11:37:36.951,CANCELLED,2E,2c1cb027edf0c83e,XXXXXX8435
B1115,P1242,AI025,2025-08-23 11:37:36.951,CONFIRMED,10A,3fbb061ba8e2dd82,XXXXXX1024
B1116,P1949,6F030,2025-12-05 11:37:36.951,CONFIRMED,19B,dc8653eec47dea99,XXXXXX1177
B1117,P1206,SJ222,2025-09-02 11:37:36.951,CONFIRMED,28F,ae782be8b0f9ebb0,XXXXXX6273
B1118,P1911,UK109,2026-04-03 11:37:36.951,CONFIRMED,34B,6c732668f5cb00bf,XXXXXX2542
B1119,P1270,SJ117,2025-11-25 11:37:36.951,CANCELLED,21F,c37e8613104eb472,XXXXXX5920
B1120,P1760,SJ142,2025-08-12 11:37:36.951,CONFIRMED,12D,e8c13d80cd9afee6,XXXXXX9377
B1121,P1993,SJ142,2025-06-01 11:37:36.951,PENDING,17C,0af661dcff30173d,XXXXXX9980
B1122,P1778,AI030,2025-05-02 11:37:36.951,CANCELLED,20B,1bf0360853623542,XXXXXX0459
B1123,P1704,6F097,2025-09-23 11:37:36.951,CONFIRMED,8A,fca1e20099562b5b,XXXXXX3440
B1124,P1846,6F129,2025-05-23 11:37:36.951,CANCELLED,5C,00a98e981af98780,XXXXXX1753
B1125,P1729,6F181,2026-01-15 11:37:36.951,PENDING,27E,34c30c110c33a5f3,XXXXXX5564
B1126,P1114,AI072,2025-10-20 11:37:36.951,CONFIRMED,10E,d6a6c47725408847,XXXXXX6718
B1127,P1579,SJ154,2025-06-29 11:37:36.951,PENDING,2E,26bcf42e0aec5417,XXXXXX6141
B1128,P1298,AI031,2026-04-08 11:37:36.951,CONFIRMED,10D,e91ee40e8d164e4c,XXXXXX9264
B1129,P1836,AI031,2025-09-18 11:37:36.951,PENDING,26F,2207409257fdf1bb,XXXXXX4894
B1130,P1482,6F158,2025-12-26 11:37:36.951,CONFIRMED,34E,e8cb4f1c96ffbcb1,XXXXXX1553
B1131,P1396,6F184,2025-06-16 11:37:36.951,CANCELLED,1C,3aff2fefc9eee87d,XXXXXX6703
B1132,P1393,UK141,2025-06-20 11:37:36.951,CONFIRMED,10D,ebc7d48ce6456fd2,XXXXXX2875
B1133,P1074,6F168,2025-12-29 11:37:36.951,CANCELLED,23D,b98fc3a9050aadc9,XXXXXX2496
B1134,P1977,6F051,2025-07-28 11:37:36.951,CONFIRMED,34C,605d77e3732264bb,XXXXXX9254
B1135,P1481,6F047,2025-12-02 11:37:36.951,CONFIRMED,20E,aeb0c6cd6f3bb83b,XXXXXX6706
B1136,P1102,UK156,2025-10-26 11:37:36.951,PENDING,28E,c2b621ad87036ec0,XXXXXX2968
B1137,P1296,AI094,2025-09-01 11:37:36.951,PENDING,13E,1985722f2d75488d,XXXXXX1393
B1138,P1177,AI038,2025-07-14 11:37:36.951,PENDING,6C,51f11db19da7e8e4,XXXXXX1934
B1139,P1214,6F255,2026-01-19 11:37:36.951,CONFIRMED,29F,71d6dcd55a240d09,XXXXXX2157
B1140,P1966,SJ025,2026-01-23 11:37:36.951,CONFIRMED,29D,216d3b2fca5c51dd,XXXXXX1700
B1141,P1314,SJ185,2025-10-28 11:37:36.951,CONFIRMED,9C,3b5b7e6cd80c245c,XXXXXX5455
B1142,P1038,6F259,2026-01-21 11:37:36.951,CANCELLED,5C,a9a4c74303b50757,XXXXXX4971
B1143,P1258,6F073,2026-04-07 11:37:36.951,CANCELLED,15A,c389e723bb6e335b,XXXXXX9840
B1144,P1715,AI091,2025-09-26 11:37:36.951,CONFIRMED,6D,2f083af7f856a3f8,XXXXXX7996
B1145,P1006,6F191,2025-08-23 11:37:36.951,PENDING,15D,578445d823ff3a2c,XXXXXX6715
B1146,P1048,UK228,2025-08-30 11:37:36.951,PENDING,25A,03d129526d575bd4,XXXXXX8150
B1147,P1537,6F146,2026-03-25 11:37:36.951,PENDING,11E,14b39c39bdd0f02f,XXXXXX9430
B1148,P1160,6F068,2025-10-13 11:37:36.951,CONFIRMED,19A,b75d45c135a9d8c9,XXXXXX0672
B1149,P1868,SJ218,2026-01-08 11:37:36.951,PENDING,30F,6f8bb9feb2da5880,XXXXXX2528
B1150,P1175,UK083,2025-09-25 11:37:36.951,CONFIRMED,12A,871845db53610398,XXXXXX2234
B1151,P1590,SJ007,2026-01-18 11:37:36.951,CANCELLED,29B,356a97c248bd31a8,XXXXXX9085
B1152,P1001,AI077,2025-08-14 11:37:36.951,PENDING,27A,68946bf41f8d6ae0,XXXXXX8402
B1153,P1894,UK017,2025-12-20 11:37:36.951,CANCELLED,8D,c848912444002a35,XXXXXX9050
B1154,P1454,6F229,2026-02-17 11:37:36.951,PENDING,24A,a033df709283e8de,XXXXXX7005
B1155,P1927,6F074,2025-10-08 11:37:36.951,CONFIRMED,6D,2608580e49e5d8c8,XXXXXX5900
B1156,P1643,SJ088,2026-03-25 11:37:36.951,CONFIRMED,5E,f4e6aa8cc3183d5e,XXXXXX8235
B1157,P1275,SJ167,2025-06-28 11:37:36.951,CONFIRMED,18B,eba83006e071a37c,XXXXXX0380
B1158,P1497,6F234,2025-07-20 11:37:36.951,CONFIRMED,22A,95e7c9c0226f064a,XXXXXX3787
B1159,P1628,UK071,2025-12-10 11:37:36.951,PENDING,22F,c1da1b4b378e9762,XXXXXX1686
B1160,P1675,AI178,2025-11-21 11:37:36.951,CANCELLED,29A,6498518a66e65341,XXXXXX5204
B1161,P1799,UK104,2025-11-14 11:37:36.951,CONFIRMED,12A,ca64e6d70df6ba94,XXXXXX1674
B1162,P1027,AI146,2025-04-22 11:37:36.951,UNKNOWN,32D,7354ce3c195d747c,XXXXXX9690
B1163,P1332,SJ235,2025-11-10 11:37:36.951,CANCELLED,13D,48743654283a19eb,XXXXXX2987
B1164,P1000,6F209,2025-04-24 11:37:36.951,CONFIRMED,24A,98088c28eff629e0,XXXXXX2471
B1165,P1187,AI129,2025-08-20 11:37:36.951,CANCELLED,2F,5595769fe76ae381,XXXXXX2367
B1166,P1055,SJ141,2026-01-23 11:37:36.951,CONFIRMED,34D,0cea3af483534ad2,XXXXXX7690
B1167,P1546,SJ018,2026-02-02 11:37:36.951,CANCELLED,9F,60ab0dbb77339ad2,XXXXXX6854
B1168,P1111,UK120,2025-10-14 11:37:36.951,CANCELLED,11C,cb75298e6a5f6cba,XXXXXX3269
B1169,P1797,AI078,2025-11-15 11:37:36.951,CONFIRMED,11E,17c2096688852520,XXXXXX7397
B1170,P1309,AI079,2025-09-14 11:37:36.951,PENDING,15E,0371ea3e6781f1d9,XXXXXX4039
B1171,P1035,UK087,2025-09-19 11:37:36.951,CANCELLED,21A,1bf4cd1546e5487a,XXXXXX5830
B1172,P1438,UK133,2026-01-17 11:37:36.951,CONFIRMED,8F,63ebd172c85b68e3,XXXXXX9600
B1173,P1728,AI222,2025-06-01 11:37:36.951,CANCELLED,22E,f7d7101f9ced087a,XXXXXX0197
B1174,P1591,6F049,2026-04-12 11:37:36.951,CANCELLED,19D,2b3499ff69fa8bb5,XXXXXX4287
B1175,P1825,6F105,2026-01-29 11:37:36.951,PENDING,27D,f2883fac2e7980d6,XXXXXX0363
B1176,P1594,SJ226,2025-04-17 11:37:36.951,CANCELLED,7C,4ba7ae26ea61ddc5,XXXXXX7327
B1177,P1576,SJ227,2025-07-29 11:37:36.951,CANCELLED,34D,b82f728c7d2e8c7e,XXXXXX0863
B1178,P1324,6F034,2026-02-05 11:37:36.951,CONFIRMED,34E,9fed3adc15efc186,XXXXXX2098
B1179,P1639,SJ078,2025-10-03 11:37:36.951,CONFIRMED,33D,633a2035439d0a14,XXXXXX5466
B1180,P1306,AI240,2026-04-10 11:37:36.951,PENDING,22F,c74e50121e06d289,XXXXXX9558
B1181,P1533,SJ002,2026-03-29 11:37:36.951,CANCELLED,12E,dcd513b04a59202a,XXXXXX9169
B1182,P1727,AI044,2025-08-11 11:37:36.951,CANCELLED,3A,87480fc48623eca6,XXXXXX4521
B1183,P1618,UK076,2025-06-22 11:37:36.951,CANCELLED,8C,eb80641d33d8430a,XXXXXX8652
B1184,P1108,6F232,2025-08-01 11:37:36.951,PENDING,28E,510e4c0245098ac3,XXXXXX6490
B1185,P1371,SJ228,2025-08-16 11:37:36.951,CANCELLED,25E,b480fd35994aa2e2,XXXXXX6542
B1186,P1356,SJ074,2026-04-04 11:37:36.951,CONFIRMED,1B,2e20010f401bd36d,XXXXXX4213
B1187,P1180,UK229,2025-08-04 11:37:36.951,PENDING,7F,bcad294fd4c771d6,XXXXXX5908
B1188,P1355,AI208,2026-04-04 11:37:36.951,CONFIRMED,6A,960b40c73239f32a,XXXXXX9782
B1189,P1675,AI019,2025-11-23 11:37:36.951,CONFIRMED,14F,a9f9ae59b760f957,XXXXXX8556
B1190,P1067,6F029,2025-05-23 11:37:36.951,PENDING,12B,81105627df70c9e9,XXXXXX1523
B1191,P1291,6F018,2025-04-27 11:37:36.951,CONFIRMED,25B,8b0b557bd4ea22af,XXXXXX2358
B1192,P1691,AI059,2025-06-23 11:37:36.951,CANCELLED,7D,bd0c3aacc3c9dc57,XXXXXX5924
B1193,P1180,AI159,2025-05-22 11:37:36.951,PENDING,13D,5863c650c19332ed,XXXXXX0978
B1194,P1465,6F091,2025-07-11 11:37:36.951,CONFIRMED,14F,af1e6fbca2bd3d22,XXXXXX6626
B1195,P1433,6F084,2025-07-20 11:37:36.951,CANCELLED,10B,8e84f1e8ff011a45,XXXXXX6166
B1196,P1463,UK170,2026-01-15 11:37:36.951,CANCELLED,20C,cc311981dec74555,XXXXXX4596
B1197,P1680,UK212,2025-05-19 11:37:36.951,CONFIRMED,2E,e0be2d96c301271a,XXXXXX7338
B1198,P1913,SJ022,2025-06-16 11:37:36.951,UNKNOWN,29A,15c25ade21b2dbef,XXXXXX2983
B1199,P1533,SJ075,2025-12-13 11:37:36.951,PENDING,30E,a4a5e5fb1108dcc8,XXXXXX7632
B1200,P1065,UK177,2025-09-17 11:37:36.951,CONFIRMED,16B,0993e74bff7eee31,XXXXXX8921
B1201,P1020,UK206,2026-02-01 11:37:36.951,CANCELLED,3A,8b096dbeb7ff9422,XXXXXX4055
B1202,P1611,UK079,2025-04-29 11:37:36.951,CANCELLED,29C,e82732abaf87ce07,XXXXXX6263
B1203,P1383,UK040,2025-06-21 11:37:36.951,CONFIRMED,3B,0452c07f23ff10a6,XXXXXX0009
B1204,P1811,AI034,2025-07-25 11:37:36.951,CONFIRMED,30A,e8e3f008ab5555fa,XXXXXX2075
B1205,P1614,UK034,2025-10-18 11:37:36.951,CONFIRMED,23F,c7dafa34e337919a,XXXXXX4339
B1206,P1558,AI088,2025-07-02 11:37:36.951,CONFIRMED,13A,0efef5967c90cb9b,XXXXXX2395
B1207,P1038,AI128,2025-06-11 11:37:36.951,PENDING,26A,7149ee0abe33ca8c,XXXXXX6415
B1208,P1284,SJ052,2025-07-22 11:37:36.951,UNKNOWN,9A,983f75cb74299ffa,XXXXXX2858
B1209,P1821,AI233,2025-12-15 11:37:36.951,PENDING,3A,fc677904de8b522a,XXXXXX6064
B1210,P1601,AI012,2026-01-20 11:37:36.951,PENDING,3C,2f28534ad2a37fd1,XXXXXX4358
B1211,P1596,AI084,2025-07-07 11:37:36.951,CONFIRMED,34A,673916c67a3e72cf,XXXXXX5378
B1212,P1784,6F126,2025-07-08 11:37:36.951,PENDING,34B,c5ae89767babdca2,XXXXXX6819
B1213,P1335,SJ061,2025-06-16 11:37:36.951,CONFIRMED,2E,b66bdc6261803f7b,XXXXXX1107
B1214,P1187,UK194,2025-08-14 11:37:36.951,UNKNOWN,23B,d2c1fddca2f75e7f,XXXXXX9571
B1215,P1670,AI135,2025-08-08 11:37:36.951,CANCELLED,28C,2f0c6519e98846f2,XXXXXX3317
B1216,P1242,6F238,2025-12-09 11:37:36.951,CONFIRMED,10A,86807fbad3b37eae,XXXXXX5129
B1217,P1072,6F092,2026-03-19 11:37:36.951,CANCELLED,32C,6e640d9f602a44a4,XXXXXX8927
B1218,P1478,AI213,2025-11-13 11:37:36.951,PENDING,2D,7457b676b7426b82,XXXXXX3132
B1219,P1973,UK193,2026-02-15 11:37:36.951,CANCELLED,1B,0a6a4c23ba945361,XXXXXX0964
B1220,P1560,6F178,2026-04-04 11:37:36.951,PENDING,29C,2a94a5b0d6247d23,XXXXXX2559
B1221,P1100,AI158,2026-03-06 11:37:36.951,CONFIRMED,19D,c9e997c60f9ef9ce,XXXXXX5218
B1222,P1513,UK208,2026-03-30 11:37:36.951,PENDING,8A,5ff38e020b6dcadf,XXXXXX5907
B1223,P1755,6F056,2026-04-09 11:37:36.951,UNKNOWN,15A,de19165256b0f2f1,XXXXXX4660
B1224,P1175,UK185,2025-10-26 11:37:36.951,CONFIRMED,1E,beecfacac6c553e5,XXXXXX9317
B1225,P1237,AI163,2026-01-13 11:37:36.951,PENDING,4D,79382d580e847fa4,XXXXXX1229
B1226,P1909,AI112,2025-08-23 11:37:36.951,CONFIRMED,15C,c831ddf06bcd4b87,XXXXXX3124
B1227,P1058,AI227,2025-10-23 11:37:36.951,CANCELLED,12A,f7ea09abca12cb4d,XXXXXX8218
B1228,P1864,SJ083,2026-04-17 11:37:36.951,CONFIRMED,29D,f4f650cefc0f0938,XXXXXX2235
B1229,P1098,UK073,2026-02-07 11:37:36.951,CONFIRMED,13F,668ba5e91248db2a,XXXXXX1227
B1230,P1953,6F169,2025-04-29 11:37:36.951,PENDING,6C,e58a5c11159dec17,XXXXXX2051
B1231,P1870,UK154,2026-04-06 11:37:36.951,CANCELLED,27D,59cc5c81e9958b31,XXXXXX5590
B1232,P1953,SJ169,2025-10-06 11:37:36.951,CONFIRMED,32F,7f41767a1eecb4b5,XXXXXX1252
B1233,P1494,6F187,2025-05-13 11:37:36.951,CANCELLED,5F,14001aecefafb22d,XXXXXX9119
B1234,P1946,UK210,2025-11-21 11:37:36.951,CANCELLED,33A,202b28e40a03f441,XXXXXX4349
B1235,P1979,6F250,2025-12-23 11:37:36.951,PENDING,13D,1fc835c38c63e482,XXXXXX0345
B1236,P1513,AI062,2025-07-05 11:37:36.951,CONFIRMED,25A,e093fcae33bcc856,XXXXXX2732
B1237,P1754,AI047,2025-11-16 11:37:36.951,UNKNOWN,15B,8118ea95ff7ddb0c,XXXXXX1042
B1238,P1296,SJ186,2025-10-20 11:37:36.951,UNKNOWN,8E,65e8b88a042b60c2,XXXXXX4048
B1239,P1210,AI217,2025-11-17 11:37:36.951,CANCELLED,30A,eaae8c883dcd941f,XXXXXX8284
